Observation,Measure,Measure,Area Code,Area,Year,Quarter
271572.3333333333,New dwellings,New dwellings,K03000001,Great Britain,2014,Q4
269224,New dwellings,New dwellings,K03000001,Great Britain,2015,Q1
280108.3333333333,New dwellings,New dwellings,K03000001,Great Britain,2015,Q2
285945.3333333333,New dwellings,New dwellings,K03000001,Great Britain,2015,Q3
282243.38,New dwellings,New dwellings,K03000001,Great Britain,2015,Q4
292865.3264805545,New dwellings,New dwellings,K03000001,Great Britain,2016,Q1
285282.48709722474,New dwellings,New dwellings,K03000001,Great Britain,2016,Q2
289740.23282271874,New dwellings,New dwellings,K03000001,Great Britain,2016,Q3
304757.2786970657,New dwellings,New dwellings,K03000001,Great Britain,2016,Q4
295933.3995712897,New dwellings,New dwellings,K03000001,Great Britain,2017,Q1
3089929399249597,New dwellings,New dwellings,K03000001,Great Britain,2017,Q2
308623.10027184954,New dwellings,New dwellings,K03000001,Great Britain,2017,Q3
310759.95871968707,New dwellings,New dwellings,K03000001,Great Britain,2017,Q4
308759.59965313366,New dwellings,New dwellings,K03000001,Great Britain,2018,Q1
313102916738285,New dwellings,New dwellings,K03000001,Great Britain,2018,Q2
314444.20426780917,New dwellings,New dwellings,K03000001,Great Britain,2018,Q3
306200.4332448999,New dwellings,New dwellings,K03000001,Great Britain,2018,Q4
305509.30942715355,New dwellings,New dwellings,K03000001,Great Britain,2019,Q1
307179,New dwellings,New dwellings,K03000001,Great Britain,2019,Q2
312858.3333333333,New dwellings,New dwellings,K03000001,Great Britain,2019,Q3
311822.3333333333,New dwellings,New dwellings,K03000001,Great Britain,2019,Q4
316124.6666666667,New dwellings,New dwellings,K03000001,Great Britain,2020,Q1
311627.6666666667,New dwellings,New dwellings,K03000001,Great Britain,2020,Q2
323836,New dwellings,New dwellings,K03000001,Great Britain,2020,Q3
329213.6666666667,New dwellings,New dwellings,K03000001,Great Britain,2020,Q4
339146.3333333333,New dwellings,New dwellings,K03000001,Great Britain,2021,Q1
331881.3333333333,New dwellings,New dwellings,K03000001,Great Britain,2021,Q2
302294,New dwellings,New dwellings,K03000001,Great Britain,2021,Q3
315342.3333333333,New dwellings,New dwellings,K03000001,Great Britain,2021,Q4
333501.6666666667,New dwellings,New dwellings,K03000001,Great Britain,2022,Q1
334787,New dwellings,New dwellings,K03000001,Great Britain,2022,Q2
341423.3333333333,New dwellings,New dwellings,K03000001,Great Britain,2022,Q3
335760.6666666667,New dwellings,New dwellings,K03000001,Great Britain,2022,Q4
333909.6666666667,New dwellings,New dwellings,K03000001,Great Britain,2023,Q1
79235,New dwellings,New dwellings,K04000001,England and Wales,1992,Q2
70811,New dwellings,New dwellings,K04000001,England and Wales,1992,Q3
70258,New dwellings,New dwellings,K04000001,England and Wales,1992,Q4
74633,New dwellings,New dwellings,K04000001,England and Wales,1993,Q1
73297,New dwellings,New dwellings,K04000001,England and Wales,1993,Q2
74169,New dwellings,New dwellings,K04000001,England and Wales,1993,Q3
75347,New dwellings,New dwellings,K04000001,England and Wales,1993,Q4
75159,New dwellings,New dwellings,K04000001,England and Wales,1994,Q1
75920,New dwellings,New dwellings,K04000001,England and Wales,1994,Q2
75324,New dwellings,New dwellings,K04000001,England and Wales,1994,Q3
79458,New dwellings,New dwellings,K04000001,England and Wales,1994,Q4
76786,New dwellings,New dwellings,K04000001,England and Wales,1995,Q1
79488,New dwellings,New dwellings,K04000001,England and Wales,1995,Q2
81999,New dwellings,New dwellings,K04000001,England and Wales,1995,Q3
84007,New dwellings,New dwellings,K04000001,England and Wales,1995,Q4
83496,New dwellings,New dwellings,K04000001,England and Wales,1996,Q1
85982,New dwellings,New dwellings,K04000001,England and Wales,1996,Q2
88200,New dwellings,New dwellings,K04000001,England and Wales,1996,Q3
92833,New dwellings,New dwellings,K04000001,England and Wales,1996,Q4
98967,New dwellings,New dwellings,K04000001,England and Wales,1997,Q1
95589,New dwellings,New dwellings,K04000001,England and Wales,1997,Q2
96276,New dwellings,New dwellings,K04000001,England and Wales,1997,Q3
95475,New dwellings,New dwellings,K04000001,England and Wales,1997,Q4
97018,New dwellings,New dwellings,K04000001,England and Wales,1998,Q1
100611,New dwellings,New dwellings,K04000001,England and Wales,1998,Q2
97082,New dwellings,New dwellings,K04000001,England and Wales,1998,Q3
103979,New dwellings,New dwellings,K04000001,England and Wales,1998,Q4
111769,New dwellings,New dwellings,K04000001,England and Wales,1999,Q1
116014,New dwellings,New dwellings,K04000001,England and Wales,1999,Q2
118018,New dwellings,New dwellings,K04000001,England and Wales,1999,Q3
121772,New dwellings,New dwellings,K04000001,England and Wales,1999,Q4
126577,New dwellings,New dwellings,K04000001,England and Wales,2000,Q1
126783,New dwellings,New dwellings,K04000001,England and Wales,2000,Q2
129692,New dwellings,New dwellings,K04000001,England and Wales,2000,Q3
132988,New dwellings,New dwellings,K04000001,England and Wales,2000,Q4
137271,New dwellings,New dwellings,K04000001,England and Wales,2001,Q1
136085,New dwellings,New dwellings,K04000001,England and Wales,2001,Q2
143968,New dwellings,New dwellings,K04000001,England and Wales,2001,Q3
145121,New dwellings,New dwellings,K04000001,England and Wales,2001,Q4
153016,New dwellings,New dwellings,K04000001,England and Wales,2002,Q1
162312,New dwellings,New dwellings,K04000001,England and Wales,2002,Q2
174769,New dwellings,New dwellings,K04000001,England and Wales,2002,Q3
176495,New dwellings,New dwellings,K04000001,England and Wales,2002,Q4
175216,New dwellings,New dwellings,K04000001,England and Wales,2003,Q1
189799,New dwellings,New dwellings,K04000001,England and Wales,2003,Q2
211200,New dwellings,New dwellings,K04000001,England and Wales,2003,Q3
210794,New dwellings,New dwellings,K04000001,England and Wales,2003,Q4
214812,New dwellings,New dwellings,K04000001,England and Wales,2004,Q1
218915,New dwellings,New dwellings,K04000001,England and Wales,2004,Q2
226879,New dwellings,New dwellings,K04000001,England and Wales,2004,Q3
216805,New dwellings,New dwellings,K04000001,England and Wales,2004,Q4
222722,New dwellings,New dwellings,K04000001,England and Wales,2005,Q1
223976,New dwellings,New dwellings,K04000001,England and Wales,2005,Q2
224770,New dwellings,New dwellings,K04000001,England and Wales,2005,Q3
222468,New dwellings,New dwellings,K04000001,England and Wales,2005,Q4
229640,New dwellings,New dwellings,K04000001,England and Wales,2006,Q1
228403,New dwellings,New dwellings,K04000001,England and Wales,2006,Q2
225062,New dwellings,New dwellings,K04000001,England and Wales,2006,Q3
225333,New dwellings,New dwellings,K04000001,England and Wales,2006,Q4
222083,New dwellings,New dwellings,K04000001,England and Wales,2007,Q1
226116,New dwellings,New dwellings,K04000001,England and Wales,2007,Q2
223515.80439344654,New dwellings,New dwellings,K04000001,England and Wales,2007,Q3
2258356198615345,New dwellings,New dwellings,K04000001,England and Wales,2007,Q4
225371.51372636945,New dwellings,New dwellings,K04000001,England and Wales,2008,Q1
231483.90282722728,New dwellings,New dwellings,K04000001,England and Wales,2008,Q2
221010.66128835376,New dwellings,New dwellings,K04000001,England and Wales,2008,Q3
199514.85093500777,New dwellings,New dwellings,K04000001,England and Wales,2008,Q4
190019.45492784143,New dwellings,New dwellings,K04000001,England and Wales,2009,Q1
191798.9824974383,New dwellings,New dwellings,K04000001,England and Wales,2009,Q2
203418.70553953902,New dwellings,New dwellings,K04000001,England and Wales,2009,Q3
207438.16168152634,New dwellings,New dwellings,K04000001,England and Wales,2009,Q4
209121.8914999919,New dwellings,New dwellings,K04000001,England and Wales,2010,Q1
215695.3545451177,New dwellings,New dwellings,K04000001,England and Wales,2010,Q2
216200.4311741915,New dwellings,New dwellings,K04000001,England and Wales,2010,Q3
2189218380294513,New dwellings,New dwellings,K04000001,England and Wales,2010,Q4
211445.7033824045,New dwellings,New dwellings,K04000001,England and Wales,2011,Q1
222766.68870150065,New dwellings,New dwellings,K04000001,England and Wales,2011,Q2
232688.1208642679,New dwellings,New dwellings,K04000001,England and Wales,2011,Q3
237884.3224289074,New dwellings,New dwellings,K04000001,England and Wales,2011,Q4
229948.7124014847,New dwellings,New dwellings,K04000001,England and Wales,2012,Q1
233351.7114619204,New dwellings,New dwellings,K04000001,England and Wales,2012,Q2
234879.24493333334,New dwellings,New dwellings,K04000001,England and Wales,2012,Q3
233690.48063333333,New dwellings,New dwellings,K04000001,England and Wales,2012,Q4
231214.78077424155,New dwellings,New dwellings,K04000001,England and Wales,2013,Q1
246451.36706292108,New dwellings,New dwellings,K04000001,England and Wales,2013,Q2
247752.51206128453,New dwellings,New dwellings,K04000001,England and Wales,2013,Q3
247717.7287582209,New dwellings,New dwellings,K04000001,England and Wales,2013,Q4
271502.74450000003,New dwellings,New dwellings,K04000001,England and Wales,2014,Q1
289785.50000792067,New dwellings,New dwellings,K04000001,England and Wales,2014,Q2
290505.4158024756,New dwellings,New dwellings,K04000001,England and Wales,2014,Q3
275802.6666666667,New dwellings,New dwellings,K04000001,England and Wales,2014,Q4
269974.3333333333,New dwellings,New dwellings,K04000001,England and Wales,2015,Q1
288134,New dwellings,New dwellings,K04000001,England and Wales,2015,Q2
291268,New dwellings,New dwellings,K04000001,England and Wales,2015,Q3
287484.43333333335,New dwellings,New dwellings,K04000001,England and Wales,2015,Q4
296537.26387901703,New dwellings,New dwellings,K04000001,England and Wales,2016,Q1
289597.39274469396,New dwellings,New dwellings,K04000001,England and Wales,2016,Q2
295047.9130820969,New dwellings,New dwellings,K04000001,England and Wales,2016,Q3
310083.7256050107,New dwellings,New dwellings,K04000001,England and Wales,2016,Q4
299586.7802840799,New dwellings,New dwellings,K04000001,England and Wales,2017,Q1
312999.3854283178,New dwellings,New dwellings,K04000001,England and Wales,2017,Q2
312747.7067339465,New dwellings,New dwellings,K04000001,England and Wales,2017,Q3
315282.664803997,New dwellings,New dwellings,K04000001,England and Wales,2017,Q4
312795.9896569818,New dwellings,New dwellings,K04000001,England and Wales,2018,Q1
317970.1133593744,New dwellings,New dwellings,K04000001,England and Wales,2018,Q2
319119.6993512367,New dwellings,New dwellings,K04000001,England and Wales,2018,Q3
310929.8426267566,New dwellings,New dwellings,K04000001,England and Wales,2018,Q4
310332.95289061865,New dwellings,New dwellings,K04000001,England and Wales,2019,Q1
311893,New dwellings,New dwellings,K04000001,England and Wales,2019,Q2
317182.6666666667,New dwellings,New dwellings,K04000001,England and Wales,2019,Q3
316299.6666666667,New dwellings,New dwellings,K04000001,England and Wales,2019,Q4
321397.6666666667,New dwellings,New dwellings,K04000001,England and Wales,2020,Q1
313428.3333333333,New dwellings,New dwellings,K04000001,England and Wales,2020,Q2
327998.3333333333,New dwellings,New dwellings,K04000001,England and Wales,2020,Q3
333151.6666666667,New dwellings,New dwellings,K04000001,England and Wales,2020,Q4
