Value,Year,Month,Seasonal Adjustment,Country
2192.218677497404,2021,Oct,NSA,Europe - EU15
1694.6151078060627,2021,Nov,NSA,Europe - EU15
1638.1962932044994,2021,Dec,NSA,Europe - EU15
1198.2727408359171,2022,Jan,NSA,Europe - EU15
1693.2632530935966,2022,Feb,NSA,Europe - EU15
2401.357435707944,2022,Mar,NSA,Europe - EU15
3747.3336133648954,2022,Apr,NSA,Europe - EU15
3980.7123027053376,2022,May ,NSA,Europe - EU15
5325.430747689705,2022,June,NSA,Europe - EU15
4622.663671950398,2022,July,NSA,Europe - EU15
5808.130933486644,2022,Aug,NSA,Europe - EU15
5396.976234731427,2022,Sep,NSA,Europe - EU15
4697.462851872835,2022,Oct,NSA,Europe - EU15
2580.887335939972,2022,Nov,NSA,Europe - EU15
2178.6894861356254,2022,Dec†,NSA,Europe - EU15
1059.584248488046,2018,Feb,NSA,Other countries
1188.2951015950462,2018,Mar,NSA,Other countries
1424.0294186125757,2018,Apr,NSA,Other countries
1158.2548944427167,2018,May,NSA,Other countries
942.9740268601215,2018,Jun,NSA,Other countries
948.1093390198018,2018,Jul,NSA,Other countries
1460.7478934724468,2018,Aug,NSA,Other countries
1556.1876117413126,2018,Sep,NSA,Other countries
1255.946417632332,2018,Oct,NSA,Other countries
1244.4433566549212,2018,Nov,NSA,Other countries
871.2332365645296,2018,Dec,NSA,Other countries
1507.441467078826,2019,Jan,NSA,Other countries
1096.4049725684256,2019,Feb,NSA,Other countries
1172.2866756735107,2019,Mar,NSA,Other countries
1661.8096440851239,2019,Apr,NSA,Other countries
1152.9062656785604,2019,May,NSA,Other countries
1031.7879955973956,2019,Jun,NSA,Other countries
1117.1389323689054,2019,Jul,NSA,Other countries
1596.9423603278335,2019,Aug,NSA,Other countries
1368.2625949480575,2019,Sep,NSA,Other countries
1217.851342229731,2019,Oct,NSA,Other countries
1122.0401569348,2019,Nov,NSA,Other countries
1007.7673365991066,2019,Dec,NSA,Other countries
1086.3123838444092,2020,Jan,NSA,Other countries
1171.6647157609555,2020,Feb,NSA,Other countries
823.8180201909202,2020,Mar,NSA,Other countries
62.02719072795372,2020,Apr,NSA,Other countries
41.51716703387191,2020,May,NSA,Other countries
48.1880284951685,2020,Jun,NSA,Other countries
56.224633232300015,2020,Jul,NSA,Other countries
144.10511140080004,2020,Aug,NSA,Other countries
119.05343482850003,2020,Sep,NSA,Other countries
149.63469142440002,2020,Oct,NSA,Other countries
146.0142441607,2020,Nov,NSA,Other countries
230.50848352420005,2020,Dec,NSA,Other countries
48.168464425430464,2021,Jan *,NSA,Other countries
140.5926455206687,2021,Feb *,NSA,Other countries
