Value,Identifier,Construction,Time Period,Adjustment
109.9,MV3K,Private new housing,Aug 2022,Non Seasonally Adjusted
110,MV3K,Private new housing,Sep 2022,Non Seasonally Adjusted
114.5,MV3K,Private new housing,Oct 2022,Non Seasonally Adjusted
110,MV3K,Private new housing,Nov 2022,Non Seasonally Adjusted
95.6,MV3K,Private new housing,Dec 2022,Non Seasonally Adjusted
82.9,MV3K,Private new housing,Jan 2023,Non Seasonally Adjusted
89.1,MV3K,Private new housing,Feb 2023,Non Seasonally Adjusted
103.4,MV3K,Private new housing,Mar 2023,Non Seasonally Adjusted
89.9,MV3K,Private new housing,Apr 2023,Non Seasonally Adjusted
42.8,MVL8,Total new housing,1998,Non Seasonally Adjusted
38.5,MVL8,Total new housing,1999,Non Seasonally Adjusted
43.4,MVL8,Total new housing,2000,Non Seasonally Adjusted
40.9,MVL8,Total new housing,2001,Non Seasonally Adjusted
44.7,MVL8,Total new housing,2002,Non Seasonally Adjusted
55.3,MVL8,Total new housing,2003,Non Seasonally Adjusted
67.4,MVL8,Total new housing,2004,Non Seasonally Adjusted
68.9,MVL8,Total new housing,2005,Non Seasonally Adjusted
70.4,MVL8,Total new housing,2006,Non Seasonally Adjusted
70.8,MVL8,Total new housing,2007,Non Seasonally Adjusted
56.1,MVL8,Total new housing,2008,Non Seasonally Adjusted
41.1,MVL8,Total new housing,2009,Non Seasonally Adjusted
51.2,MVL8,Total new housing,2010,Non Seasonally Adjusted
54.8,MVL8,Total new housing,2011,Non Seasonally Adjusted
51.1,MVL8,Total new housing,2012,Non Seasonally Adjusted
55.7,MVL8,Total new housing,2013,Non Seasonally Adjusted
71.6,MVL8,Total new housing,2014,Non Seasonally Adjusted
74.9,MVL8,Total new housing,2015,Non Seasonally Adjusted
82.4,MVL8,Total new housing,2016,Non Seasonally Adjusted
90.1,MVL8,Total new housing,2017,Non Seasonally Adjusted
94,MVL8,Total new housing,2018,Non Seasonally Adjusted
100,MVL8,Total new housing,2019,Non Seasonally Adjusted
79.2,MVL8,Total new housing,2020,Non Seasonally Adjusted
91.3,MVL8,Total new housing,2021,Non Seasonally Adjusted
99.8,MVL8,Total new housing,2022,Non Seasonally Adjusted
40.5,MVL8,Total new housing,Jan to Mar 1997,Non Seasonally Adjusted
43.5,MVL8,Total new housing,Apr to June 1997,Non Seasonally Adjusted
42.7,MVL8,Total new housing,July to Sept 1997,Non Seasonally Adjusted
46.4,MVL8,Total new housing,Oct to Dec 1997,Non Seasonally Adjusted
42.3,MVL8,Total new housing,Jan to Mar 1998,Non Seasonally Adjusted
45.7,MVL8,Total new housing,Apr to June 1998,Non Seasonally Adjusted
42.1,MVL8,Total new housing,July to Sept 1998,Non Seasonally Adjusted
41,MVL8,Total new housing,Oct to Dec 1998,Non Seasonally Adjusted
38.7,MVL8,Total new housing,Jan to Mar 1999,Non Seasonally Adjusted
40.3,MVL8,Total new housing,Apr to June 1999,Non Seasonally Adjusted
39,MVL8,Total new housing,July to Sept 1999,Non Seasonally Adjusted
36.1,MVL8,Total new housing,Oct to Dec 1999,Non Seasonally Adjusted
43.1,MVL8,Total new housing,Jan to Mar 2000,Non Seasonally Adjusted
44.3,MVL8,Total new housing,Apr to June 2000,Non Seasonally Adjusted
43.6,MVL8,Total new housing,July to Sept 2000,Non Seasonally Adjusted
42.4,MVL8,Total new housing,Oct to Dec 2000,Non Seasonally Adjusted
38,MVL8,Total new housing,Jan to Mar 2001,Non Seasonally Adjusted
41,MVL8,Total new housing,Apr to June 2001,Non Seasonally Adjusted
42.3,MVL8,Total new housing,July to Sept 2001,Non Seasonally Adjusted
42,MVL8,Total new housing,Oct to Dec 2001,Non Seasonally Adjusted
42.2,MVL8,Total new housing,Jan to Mar 2002,Non Seasonally Adjusted
42.2,MVL8,Total new housing,Apr to June 2002,Non Seasonally Adjusted
46.2,MVL8,Total new housing,July to Sept 2002,Non Seasonally Adjusted
48.1,MVL8,Total new housing,Oct to Dec 2002,Non Seasonally Adjusted
50.4,MVL8,Total new housing,Jan to Mar 2003,Non Seasonally Adjusted
52,MVL8,Total new housing,Apr to June 2003,Non Seasonally Adjusted
57,MVL8,Total new housing,July to Sept 2003,Non Seasonally Adjusted
61.8,MVL8,Total new housing,Oct to Dec 2003,Non Seasonally Adjusted
65.7,MVL8,Total new housing,Jan to Mar 2004,Non Seasonally Adjusted
67.3,MVL8,Total new housing,Apr to June 2004,Non Seasonally Adjusted
68.5,MVL8,Total new housing,July to Sept 2004,Non Seasonally Adjusted
67.9,MVL8,Total new housing,Oct to Dec 2004,Non Seasonally Adjusted
68.1,MVL8,Total new housing,Jan to Mar 2005,Non Seasonally Adjusted
70.1,MVL8,Total new housing,Apr to June 2005,Non Seasonally Adjusted
69.3,MVL8,Total new housing,July to Sept 2005,Non Seasonally Adjusted
68,MVL8,Total new housing,Oct to Dec 2005,Non Seasonally Adjusted
68.4,MVL8,Total new housing,Jan to Mar 2006,Non Seasonally Adjusted
70.2,MVL8,Total new housing,Apr to June 2006,Non Seasonally Adjusted
71.8,MVL8,Total new housing,July to Sept 2006,Non Seasonally Adjusted
71.3,MVL8,Total new housing,Oct to Dec 2006,Non Seasonally Adjusted
72.7,MVL8,Total new housing,Jan to Mar 2007,Non Seasonally Adjusted
72.3,MVL8,Total new housing,Apr to June 2007,Non Seasonally Adjusted
70.9,MVL8,Total new housing,July to Sept 2007,Non Seasonally Adjusted
67.3,MVL8,Total new housing,Oct to Dec 2007,Non Seasonally Adjusted
64.7,MVL8,Total new housing,Jan to Mar 2008,Non Seasonally Adjusted
59.8,MVL8,Total new housing,Apr to June 2008,Non Seasonally Adjusted
54.1,MVL8,Total new housing,July to Sept 2008,Non Seasonally Adjusted
45.8,MVL8,Total new housing,Oct to Dec 2008,Non Seasonally Adjusted
41.1,MVL8,Total new housing,Jan to Mar 2009,Non Seasonally Adjusted
40.8,MVL8,Total new housing,Apr to June 2009,Non Seasonally Adjusted
40.4,MVL8,Total new housing,July to Sept 2009,Non Seasonally Adjusted
42,MVL8,Total new housing,Oct to Dec 2009,Non Seasonally Adjusted
42.4,MVL8,Total new housing,Jan to Mar 2010,Non Seasonally Adjusted
52.2,MVL8,Total new housing,Apr to June 2010,Non Seasonally Adjusted
55.1,MVL8,Total new housing,July to Sept 2010,Non Seasonally Adjusted
54.9,MVL8,Total new housing,Oct to Dec 2010,Non Seasonally Adjusted
51.1,MVL8,Total new housing,Jan to Mar 2011,Non Seasonally Adjusted
57.4,MVL8,Total new housing,Apr to June 2011,Non Seasonally Adjusted
56.2,MVL8,Total new housing,July to Sept 2011,Non Seasonally Adjusted
54.6,MVL8,Total new housing,Oct to Dec 2011,Non Seasonally Adjusted
49.8,MVL8,Total new housing,Jan to Mar 2012,Non Seasonally Adjusted
52.4,MVL8,Total new housing,Apr to June 2012,Non Seasonally Adjusted
50.3,MVL8,Total new housing,July to Sept 2012,Non Seasonally Adjusted
52,MVL8,Total new housing,Oct to Dec 2012,Non Seasonally Adjusted
46.3,MVL8,Total new housing,Jan to Mar 2013,Non Seasonally Adjusted
56.8,MVL8,Total new housing,Apr to June 2013,Non Seasonally Adjusted
57.7,MVL8,Total new housing,July to Sept 2013,Non Seasonally Adjusted
62.2,MVL8,Total new housing,Oct to Dec 2013,Non Seasonally Adjusted
61.3,MVL8,Total new housing,Jan to Mar 2014,Non Seasonally Adjusted
73.1,MVL8,Total new housing,Apr to June 2014,Non Seasonally Adjusted
75.7,MVL8,Total new housing,July to Sept 2014,Non Seasonally Adjusted
76.3,MVL8,Total new housing,Oct to Dec 2014,Non Seasonally Adjusted
68.9,MVL8,Total new housing,Jan to Mar 2015,Non Seasonally Adjusted
79.6,MVL8,Total new housing,Apr to June 2015,Non Seasonally Adjusted
73.8,MVL8,Total new housing,July to Sept 2015,Non Seasonally Adjusted
77.2,MVL8,Total new housing,Oct to Dec 2015,Non Seasonally Adjusted
74.5,MVL8,Total new housing,Jan to Mar 2016,Non Seasonally Adjusted
85.3,MVL8,Total new housing,Apr to June 2016,Non Seasonally Adjusted
83.9,MVL8,Total new housing,July to Sept 2016,Non Seasonally Adjusted
86,MVL8,Total new housing,Oct to Dec 2016,Non Seasonally Adjusted
81.9,MVL8,Total new housing,Jan to Mar 2017,Non Seasonally Adjusted
91.1,MVL8,Total new housing,Apr to June 2017,Non Seasonally Adjusted
90.6,MVL8,Total new housing,July to Sept 2017,Non Seasonally Adjusted
96.8,MVL8,Total new housing,Oct to Dec 2017,Non Seasonally Adjusted
85.2,MVL8,Total new housing,Jan to Mar 2018,Non Seasonally Adjusted
94.9,MVL8,Total new housing,Apr to June 2018,Non Seasonally Adjusted
96.3,MVL8,Total new housing,July to Sept 2018,Non Seasonally Adjusted
99.7,MVL8,Total new housing,Oct to Dec 2018,Non Seasonally Adjusted
92.5,MVL8,Total new housing,Jan to Mar 2019,Non Seasonally Adjusted
102,MVL8,Total new housing,Apr to June 2019,Non Seasonally Adjusted
103.3,MVL8,Total new housing,July to Sept 2019,Non Seasonally Adjusted
102.2,MVL8,Total new housing,Oct to Dec 2019,Non Seasonally Adjusted
90.7,MVL8,Total new housing,Jan to Mar 2020,Non Seasonally Adjusted
48.3,MVL8,Total new housing,Apr to June 2020,Non Seasonally Adjusted
85.4,MVL8,Total new housing,July to Sept 2020,Non Seasonally Adjusted
92.2,MVL8,Total new housing,Oct to Dec 2020,Non Seasonally Adjusted
84.1,MVL8,Total new housing,Jan to Mar 2021,Non Seasonally Adjusted
95.3,MVL8,Total new housing,Apr to June 2021,Non Seasonally Adjusted
91.8,MVL8,Total new housing,July to Sept 2021,Non Seasonally Adjusted
94.1,MVL8,Total new housing,Oct to Dec 2021,Non Seasonally Adjusted
89,MVL8,Total new housing,Jan to Mar 2022,Non Seasonally Adjusted
103.9,MVL8,Total new housing,Apr to Jun 2022,Non Seasonally Adjusted
103.3,MVL8,Total new housing,Jul to Sep 2022,Non Seasonally Adjusted
102.8,MVL8,Total new housing,Oct to Dec 2022,Non Seasonally Adjusted
88.7,MVL8,Total new housing,Jan to Mar 2023,Non Seasonally Adjusted
33.9,MVL8,Total new housing,Jan 2010,Non Seasonally Adjusted
43,MVL8,Total new housing,Feb 2010,Non Seasonally Adjusted
50.3,MVL8,Total new housing,Mar 2010,Non Seasonally Adjusted
49.8,MVL8,Total new housing,Apr 2010,Non Seasonally Adjusted
51.7,MVL8,Total new housing,May 2010,Non Seasonally Adjusted
55.1,MVL8,Total new housing,Jun 2010,Non Seasonally Adjusted
53.7,MVL8,Total new housing,Jul 2010,Non Seasonally Adjusted
55,MVL8,Total new housing,Aug 2010,Non Seasonally Adjusted
56.7,MVL8,Total new housing,Sep 2010,Non Seasonally Adjusted
58.9,MVL8,Total new housing,Oct 2010,Non Seasonally Adjusted
57.6,MVL8,Total new housing,Nov 2010,Non Seasonally Adjusted
48.2,MVL8,Total new housing,Dec 2010,Non Seasonally Adjusted
45.4,MVL8,Total new housing,Jan 2011,Non Seasonally Adjusted
49.6,MVL8,Total new housing,Feb 2011,Non Seasonally Adjusted
58.3,MVL8,Total new housing,Mar 2011,Non Seasonally Adjusted
53.1,MVL8,Total new housing,Apr 2011,Non Seasonally Adjusted
55.9,MVL8,Total new housing,May 2011,Non Seasonally Adjusted
63.1,MVL8,Total new housing,Jun 2011,Non Seasonally Adjusted
56.4,MVL8,Total new housing,Jul 2011,Non Seasonally Adjusted
55.5,MVL8,Total new housing,Aug 2011,Non Seasonally Adjusted
56.8,MVL8,Total new housing,Sep 2011,Non Seasonally Adjusted
56.5,MVL8,Total new housing,Oct 2011,Non Seasonally Adjusted
56.7,MVL8,Total new housing,Nov 2011,Non Seasonally Adjusted
50.7,MVL8,Total new housing,Dec 2011,Non Seasonally Adjusted
46.1,MVL8,Total new housing,Jan 2012,Non Seasonally Adjusted
47.8,MVL8,Total new housing,Feb 2012,Non Seasonally Adjusted
55.4,MVL8,Total new housing,Mar 2012,Non Seasonally Adjusted
49.6,MVL8,Total new housing,Apr 2012,Non Seasonally Adjusted
53,MVL8,Total new housing,May 2012,Non Seasonally Adjusted
54.7,MVL8,Total new housing,Jun 2012,Non Seasonally Adjusted
50.9,MVL8,Total new housing,Jul 2012,Non Seasonally Adjusted
49.1,MVL8,Total new housing,Aug 2012,Non Seasonally Adjusted
50.9,MVL8,Total new housing,Sep 2012,Non Seasonally Adjusted
55.4,MVL8,Total new housing,Oct 2012,Non Seasonally Adjusted
53.9,MVL8,Total new housing,Nov 2012,Non Seasonally Adjusted
46.8,MVL8,Total new housing,Dec 2012,Non Seasonally Adjusted
41.5,MVL8,Total new housing,Jan 2013,Non Seasonally Adjusted
46.6,MVL8,Total new housing,Feb 2013,Non Seasonally Adjusted
50.7,MVL8,Total new housing,Mar 2013,Non Seasonally Adjusted
52.8,MVL8,Total new housing,Apr 2013,Non Seasonally Adjusted
55.8,MVL8,Total new housing,May 2013,Non Seasonally Adjusted
61.9,MVL8,Total new housing,Jun 2013,Non Seasonally Adjusted
58,MVL8,Total new housing,Jul 2013,Non Seasonally Adjusted
56.8,MVL8,Total new housing,Aug 2013,Non Seasonally Adjusted
58.2,MVL8,Total new housing,Sep 2013,Non Seasonally Adjusted
65.7,MVL8,Total new housing,Oct 2013,Non Seasonally Adjusted
62.1,MVL8,Total new housing,Nov 2013,Non Seasonally Adjusted
58.8,MVL8,Total new housing,Dec 2013,Non Seasonally Adjusted
57.9,MVL8,Total new housing,Jan 2014,Non Seasonally Adjusted
58.5,MVL8,Total new housing,Feb 2014,Non Seasonally Adjusted
67.6,MVL8,Total new housing,Mar 2014,Non Seasonally Adjusted
68.3,MVL8,Total new housing,Apr 2014,Non Seasonally Adjusted
71.7,MVL8,Total new housing,May 2014,Non Seasonally Adjusted
79.3,MVL8,Total new housing,Jun 2014,Non Seasonally Adjusted
76.8,MVL8,Total new housing,Jul 2014,Non Seasonally Adjusted
73,MVL8,Total new housing,Aug 2014,Non Seasonally Adjusted
77.3,MVL8,Total new housing,Sep 2014,Non Seasonally Adjusted
81.2,MVL8,Total new housing,Oct 2014,Non Seasonally Adjusted
76.7,MVL8,Total new housing,Nov 2014,Non Seasonally Adjusted
71.1,MVL8,Total new housing,Dec 2014,Non Seasonally Adjusted
64.1,MVL8,Total new housing,Jan 2015,Non Seasonally Adjusted
66.7,MVL8,Total new housing,Feb 2015,Non Seasonally Adjusted
76,MVL8,Total new housing,Mar 2015,Non Seasonally Adjusted
78.9,MVL8,Total new housing,Apr 2015,Non Seasonally Adjusted
76.9,MVL8,Total new housing,May 2015,Non Seasonally Adjusted
83,MVL8,Total new housing,Jun 2015,Non Seasonally Adjusted
76.3,MVL8,Total new housing,Jul 2015,Non Seasonally Adjusted
70.2,MVL8,Total new housing,Aug 2015,Non Seasonally Adjusted
74.8,MVL8,Total new housing,Sep 2015,Non Seasonally Adjusted
80.1,MVL8,Total new housing,Oct 2015,Non Seasonally Adjusted
75.5,MVL8,Total new housing,Nov 2015,Non Seasonally Adjusted
76.1,MVL8,Total new housing,Dec 2015,Non Seasonally Adjusted
65.4,MVL8,Total new housing,Jan 2016,Non Seasonally Adjusted
74,MVL8,Total new housing,Feb 2016,Non Seasonally Adjusted
84.2,MVL8,Total new housing,Mar 2016,Non Seasonally Adjusted
82.5,MVL8,Total new housing,Apr 2016,Non Seasonally Adjusted
81.9,MVL8,Total new housing,May 2016,Non Seasonally Adjusted
91.5,MVL8,Total new housing,Jun 2016,Non Seasonally Adjusted
83.5,MVL8,Total new housing,Jul 2016,Non Seasonally Adjusted
82.6,MVL8,Total new housing,Aug 2016,Non Seasonally Adjusted
85.7,MVL8,Total new housing,Sep 2016,Non Seasonally Adjusted
88,MVL8,Total new housing,Oct 2016,Non Seasonally Adjusted
87.2,MVL8,Total new housing,Nov 2016,Non Seasonally Adjusted
82.7,MVL8,Total new housing,Dec 2016,Non Seasonally Adjusted
73.8,MVL8,Total new housing,Jan 2017,Non Seasonally Adjusted
78.1,MVL8,Total new housing,Feb 2017,Non Seasonally Adjusted
93.7,MVL8,Total new housing,Mar 2017,Non Seasonally Adjusted
84,MVL8,Total new housing,Apr 2017,Non Seasonally Adjusted
89.4,MVL8,Total new housing,May 2017,Non Seasonally Adjusted
99.9,MVL8,Total new housing,Jun 2017,Non Seasonally Adjusted
89.3,MVL8,Total new housing,Jul 2017,Non Seasonally Adjusted
91,MVL8,Total new housing,Aug 2017,Non Seasonally Adjusted
91.3,MVL8,Total new housing,Sep 2017,Non Seasonally Adjusted
97.2,MVL8,Total new housing,Oct 2017,Non Seasonally Adjusted
99.5,MVL8,Total new housing,Nov 2017,Non Seasonally Adjusted
93.8,MVL8,Total new housing,Dec 2017,Non Seasonally Adjusted
77.9,MVL8,Total new housing,Jan 2018,Non Seasonally Adjusted
85.4,MVL8,Total new housing,Feb 2018,Non Seasonally Adjusted
92.2,MVL8,Total new housing,Mar 2018,Non Seasonally Adjusted
90.6,MVL8,Total new housing,Apr 2018,Non Seasonally Adjusted
92.9,MVL8,Total new housing,May 2018,Non Seasonally Adjusted
101.1,MVL8,Total new housing,Jun 2018,Non Seasonally Adjusted
98.3,MVL8,Total new housing,Jul 2018,Non Seasonally Adjusted
94.4,MVL8,Total new housing,Aug 2018,Non Seasonally Adjusted
96.1,MVL8,Total new housing,Sep 2018,Non Seasonally Adjusted
104.5,MVL8,Total new housing,Oct 2018,Non Seasonally Adjusted
103.8,MVL8,Total new housing,Nov 2018,Non Seasonally Adjusted
90.7,MVL8,Total new housing,Dec 2018,Non Seasonally Adjusted
85.2,MVL8,Total new housing,Jan 2019,Non Seasonally Adjusted
92,MVL8,Total new housing,Feb 2019,Non Seasonally Adjusted
100.4,MVL8,Total new housing,Mar 2019,Non Seasonally Adjusted
97.7,MVL8,Total new housing,Apr 2019,Non Seasonally Adjusted
100.9,MVL8,Total new housing,May 2019,Non Seasonally Adjusted
107.3,MVL8,Total new housing,Jun 2019,Non Seasonally Adjusted
106.2,MVL8,Total new housing,Jul 2019,Non Seasonally Adjusted
101.1,MVL8,Total new housing,Aug 2019,Non Seasonally Adjusted
102.7,MVL8,Total new housing,Sep 2019,Non Seasonally Adjusted
107.2,MVL8,Total new housing,Oct 2019,Non Seasonally Adjusted
104.8,MVL8,Total new housing,Nov 2019,Non Seasonally Adjusted
94.6,MVL8,Total new housing,Dec 2019,Non Seasonally Adjusted
88.3,MVL8,Total new housing,Jan 2020,Non Seasonally Adjusted
88.5,MVL8,Total new housing,Feb 2020,Non Seasonally Adjusted
95.2,MVL8,Total new housing,Mar 2020,Non Seasonally Adjusted
36.4,MVL8,Total new housing,Apr 2020,Non Seasonally Adjusted
43.2,MVL8,Total new housing,May 2020,Non Seasonally Adjusted
65.5,MVL8,Total new housing,Jun 2020,Non Seasonally Adjusted
81.9,MVL8,Total new housing,Jul 2020,Non Seasonally Adjusted
83,MVL8,Total new housing,Aug 2020,Non Seasonally Adjusted
91.2,MVL8,Total new housing,Sep 2020,Non Seasonally Adjusted
96.2,MVL8,Total new housing,Oct 2020,Non Seasonally Adjusted
94.5,MVL8,Total new housing,Nov 2020,Non Seasonally Adjusted
85.9,MVL8,Total new housing,Dec 2020,Non Seasonally Adjusted
71.4,MVL8,Total new housing,Jan 2021,Non Seasonally Adjusted
81.8,MVL8,Total new housing,Feb 2021,Non Seasonally Adjusted
99.1,MVL8,Total new housing,Mar 2021,Non Seasonally Adjusted
93.2,MVL8,Total new housing,Apr 2021,Non Seasonally Adjusted
92.3,MVL8,Total new housing,May 2021,Non Seasonally Adjusted
100.5,MVL8,Total new housing,Jun 2021,Non Seasonally Adjusted
91.7,MVL8,Total new housing,Jul 2021,Non Seasonally Adjusted
89.7,MVL8,Total new housing,Aug 2021,Non Seasonally Adjusted
94.1,MVL8,Total new housing,Sep 2021,Non Seasonally Adjusted
92.8,MVL8,Total new housing,Oct 2021,Non Seasonally Adjusted
97.7,MVL8,Total new housing,Nov 2021,Non Seasonally Adjusted
91.7,MVL8,Total new housing,Dec 2021,Non Seasonally Adjusted
80,MVL8,Total new housing,Jan 2022,Non Seasonally Adjusted
85.9,MVL8,Total new housing,Feb 2022,Non Seasonally Adjusted
101.2,MVL8,Total new housing,Mar 2022,Non Seasonally Adjusted
96.4,MVL8,Total new housing,Apr 2022,Non Seasonally Adjusted
104.3,MVL8,Total new housing,May 2022,Non Seasonally Adjusted
111,MVL8,Total new housing,Jun 2022,Non Seasonally Adjusted
102.3,MVL8,Total new housing,Jul 2022,Non Seasonally Adjusted
103.4,MVL8,Total new housing,Aug 2022,Non Seasonally Adjusted
104.1,MVL8,Total new housing,Sep 2022,Non Seasonally Adjusted
109,MVL8,Total new housing,Oct 2022,Non Seasonally Adjusted
105.7,MVL8,Total new housing,Nov 2022,Non Seasonally Adjusted
93.8,MVL8,Total new housing,Dec 2022,Non Seasonally Adjusted
79.8,MVL8,Total new housing,Jan 2023,Non Seasonally Adjusted
85.7,MVL8,Total new housing,Feb 2023,Non Seasonally Adjusted
100.6,MVL8,Total new housing,Mar 2023,Non Seasonally Adjusted
87.2,MVL8,Total new housing,Apr 2023,Non Seasonally Adjusted
59,MV3L,Infrastructure new work,1998,Non Seasonally Adjusted
57.6,MV3L,Infrastructure new work,1999,Non Seasonally Adjusted
53.9,MV3L,Infrastructure new work,2000,Non Seasonally Adjusted
57.7,MV3L,Infrastructure new work,2001,Non Seasonally Adjusted
65.2,MV3L,Infrastructure new work,2002,Non Seasonally Adjusted
61.5,MV3L,Infrastructure new work,2003,Non Seasonally Adjusted
53.9,MV3L,Infrastructure new work,2004,Non Seasonally Adjusted
51.8,MV3L,Infrastructure new work,2005,Non Seasonally Adjusted
47.9,MV3L,Infrastructure new work,2006,Non Seasonally Adjusted
47.4,MV3L,Infrastructure new work,2007,Non Seasonally Adjusted
52.8,MV3L,Infrastructure new work,2008,Non Seasonally Adjusted
60.5,MV3L,Infrastructure new work,2009,Non Seasonally Adjusted
76.5,MV3L,Infrastructure new work,2010,Non Seasonally Adjusted
79.1,MV3L,Infrastructure new work,2011,Non Seasonally Adjusted
70.2,MV3L,Infrastructure new work,2012,Non Seasonally Adjusted
71.4,MV3L,Infrastructure new work,2013,Non Seasonally Adjusted
70.8,MV3L,Infrastructure new work,2014,Non Seasonally Adjusted
84.4,MV3L,Infrastructure new work,2015,Non Seasonally Adjusted
83.4,MV3L,Infrastructure new work,2016,Non Seasonally Adjusted
93.7,MV3L,Infrastructure new work,2017,Non Seasonally Adjusted
97,MV3L,Infrastructure new work,2018,Non Seasonally Adjusted
100,MV3L,Infrastructure new work,2019,Non Seasonally Adjusted
95.2,MV3L,Infrastructure new work,2020,Non Seasonally Adjusted
122,MV3L,Infrastructure new work,2021,Non Seasonally Adjusted
121.3,MV3L,Infrastructure new work,2022,Non Seasonally Adjusted
58.6,MV3L,Infrastructure new work,Jan to Mar 1997,Non Seasonally Adjusted
63.4,MV3L,Infrastructure new work,Apr to June 1997,Non Seasonally Adjusted
60.3,MV3L,Infrastructure new work,July to Sept 1997,Non Seasonally Adjusted
60.3,MV3L,Infrastructure new work,Oct to Dec 1997,Non Seasonally Adjusted
64,MV3L,Infrastructure new work,Jan to Mar 1998,Non Seasonally Adjusted
55.4,MV3L,Infrastructure new work,Apr to June 1998,Non Seasonally Adjusted
55.2,MV3L,Infrastructure new work,July to Sept 1998,Non Seasonally Adjusted
61.3,MV3L,Infrastructure new work,Oct to Dec 1998,Non Seasonally Adjusted
58.7,MV3L,Infrastructure new work,Jan to Mar 1999,Non Seasonally Adjusted
54.1,MV3L,Infrastructure new work,Apr to June 1999,Non Seasonally Adjusted
58.1,MV3L,Infrastructure new work,July to Sept 1999,Non Seasonally Adjusted
59.4,MV3L,Infrastructure new work,Oct to Dec 1999,Non Seasonally Adjusted
53.3,MV3L,Infrastructure new work,Jan to Mar 2000,Non Seasonally Adjusted
54.2,MV3L,Infrastructure new work,Apr to June 2000,Non Seasonally Adjusted
52.5,MV3L,Infrastructure new work,July to Sept 2000,Non Seasonally Adjusted
55.5,MV3L,Infrastructure new work,Oct to Dec 2000,Non Seasonally Adjusted
55,MV3L,Infrastructure new work,Jan to Mar 2001,Non Seasonally Adjusted
58.8,MV3L,Infrastructure new work,Apr to June 2001,Non Seasonally Adjusted
59.7,MV3L,Infrastructure new work,July to Sept 2001,Non Seasonally Adjusted
57.2,MV3L,Infrastructure new work,Oct to Dec 2001,Non Seasonally Adjusted
62.5,MV3L,Infrastructure new work,Jan to Mar 2002,Non Seasonally Adjusted
64.7,MV3L,Infrastructure new work,Apr to June 2002,Non Seasonally Adjusted
69.8,MV3L,Infrastructure new work,July to Sept 2002,Non Seasonally Adjusted
63.8,MV3L,Infrastructure new work,Oct to Dec 2002,Non Seasonally Adjusted
63.4,MV3L,Infrastructure new work,Jan to Mar 2003,Non Seasonally Adjusted
62.9,MV3L,Infrastructure new work,Apr to June 2003,Non Seasonally Adjusted
61.2,MV3L,Infrastructure new work,July to Sept 2003,Non Seasonally Adjusted
58.4,MV3L,Infrastructure new work,Oct to Dec 2003,Non Seasonally Adjusted
55.3,MV3L,Infrastructure new work,Jan to Mar 2004,Non Seasonally Adjusted
55.7,MV3L,Infrastructure new work,Apr to June 2004,Non Seasonally Adjusted
54.5,MV3L,Infrastructure new work,July to Sept 2004,Non Seasonally Adjusted
50,MV3L,Infrastructure new work,Oct to Dec 2004,Non Seasonally Adjusted
51.1,MV3L,Infrastructure new work,Jan to Mar 2005,Non Seasonally Adjusted
51,MV3L,Infrastructure new work,Apr to June 2005,Non Seasonally Adjusted
52.8,MV3L,Infrastructure new work,July to Sept 2005,Non Seasonally Adjusted
52.1,MV3L,Infrastructure new work,Oct to Dec 2005,Non Seasonally Adjusted
50.6,MV3L,Infrastructure new work,Jan to Mar 2006,Non Seasonally Adjusted
48.2,MV3L,Infrastructure new work,Apr to June 2006,Non Seasonally Adjusted
47.5,MV3L,Infrastructure new work,July to Sept 2006,Non Seasonally Adjusted
45.4,MV3L,Infrastructure new work,Oct to Dec 2006,Non Seasonally Adjusted
45,MV3L,Infrastructure new work,Jan to Mar 2007,Non Seasonally Adjusted
47.3,MV3L,Infrastructure new work,Apr to June 2007,Non Seasonally Adjusted
49,MV3L,Infrastructure new work,July to Sept 2007,Non Seasonally Adjusted
48.3,MV3L,Infrastructure new work,Oct to Dec 2007,Non Seasonally Adjusted
50.8,MV3L,Infrastructure new work,Jan to Mar 2008,Non Seasonally Adjusted
54.5,MV3L,Infrastructure new work,Apr to June 2008,Non Seasonally Adjusted
56.1,MV3L,Infrastructure new work,July to Sept 2008,Non Seasonally Adjusted
49.8,MV3L,Infrastructure new work,Oct to Dec 2008,Non Seasonally Adjusted
51.6,MV3L,Infrastructure new work,Jan to Mar 2009,Non Seasonally Adjusted
58.2,MV3L,Infrastructure new work,Apr to June 2009,Non Seasonally Adjusted
61.9,MV3L,Infrastructure new work,July to Sept 2009,Non Seasonally Adjusted
70.1,MV3L,Infrastructure new work,Oct to Dec 2009,Non Seasonally Adjusted
75.4,MV3L,Infrastructure new work,Jan to Mar 2010,Non Seasonally Adjusted
82.7,MV3L,Infrastructure new work,Apr to June 2010,Non Seasonally Adjusted
77.7,MV3L,Infrastructure new work,July to Sept 2010,Non Seasonally Adjusted
69.9,MV3L,Infrastructure new work,Oct to Dec 2010,Non Seasonally Adjusted
74.2,MV3L,Infrastructure new work,Jan to Mar 2011,Non Seasonally Adjusted
83.7,MV3L,Infrastructure new work,Apr to June 2011,Non Seasonally Adjusted
79.5,MV3L,Infrastructure new work,July to Sept 2011,Non Seasonally Adjusted
78.9,MV3L,Infrastructure new work,Oct to Dec 2011,Non Seasonally Adjusted
67.4,MV3L,Infrastructure new work,Jan to Mar 2012,Non Seasonally Adjusted
67,MV3L,Infrastructure new work,Apr to June 2012,Non Seasonally Adjusted
